File Name,INPUT_1_BuildingNumber,Service Type,Service Category,INPUT_1_FacilityName,INPUT_1_Address,INPUT_2_ Address,Building Number,INPUT_1_Borough,INPUT_1_ZipCode,Latitude2,Longitude2,INPUT_1_Phone2,Column3,INPUT_1_AdditionalInfo2,OUTPUT_BBL,OUTPUT_BIN,OUTPUT_City_Council_District,OUTPUT_Community_District,OUTPUT_NTA_Name,Location
Open Data SET_BP Checks on HealthMap.xlsx,,Free Blood Pressure Check at a Kiosk (Self-serve),Blood Pressure,Rite Care Pharmacy,898 East 163rd Street,,,BRONX,10459,,,,,,2026960095,2102069,17,202,Longwood,
Open Data SET_BP Checks on HealthMap.xlsx,,Free Blood Pressure Check by Pharmacy Staff,Blood Pressure,Linden Pharmacy,1368 Linden Boulevard,,,BROOKLYN,11212,40.65435465,-73.90934542,(718) 342-3131,,<p>Ask a staff member to check your blood pressure.</p>,3036410028,3326605,42,316,Brownsville,"(40.65435465, -73.90934542)"
Open Data SET_BP Checks on HealthMap.xlsx,,Free Blood Pressure Check at a Kiosk (Self-serve),Blood Pressure,Rite Aid Pharmacy,2170 Frederick Douglass Boulevard,,,MANHATTAN,10026,40.805271,-73.954405,,,,,,,,,"(40.805271, -73.954405)"
Open Data SET_BP Checks on HealthMap.xlsx,,Free Blood Pressure Check by Pharmacy Staff,Blood Pressure,Bangla Pharmacy,401 Church Avenue,,,BROOKLYN,11218,40.64405949,-73.97645163,(718) 554-1900,,<p>Ask a staff member to check your blood pressure.</p>,3053370033,3124654,39,312,Kensington-Ocean Parkway,"(40.64405949, -73.97645163)"
Open Data SET_BP Checks on HealthMap.xlsx,,Free Blood Pressure Check by Pharmacy Staff,Blood Pressure,Saad Pharmacy,87-37 Britton Avenue,,,QUEENS,11382,40.70258325,-73.95645392,(718) 476-9100,,<p>Ask a staff member to check your blood pressure.</p>,,,,,,"(40.70258325, -73.95645392)"
Open Data SET_BP Checks on HealthMap.xlsx,,Free Blood Pressure Check by Pharmacy Staff,Blood Pressure,Primary Care Pharmacy,90-20 Sutphin Boulevard,,,QUEENS,11493,40.70242563,-73.80820856,(718) 291-4747,,<p>Ask a staff member to check your blood pressure.</p>,,,,,,"(40.70242563, -73.80820856)"
Open Data SET_BP Checks on HealthMap.xlsx,,Free Blood Pressure Check by Pharmacy Staff,Blood Pressure,Lenda Pharmacy,3397 Broadway,,,MANHATTAN,10031,40.82187213,-73.95378497,(212) 368-3130,,<p>Ask a staff member to check your blood pressure.</p>,1020860036,1062269,07,109,Manhattanville,"(40.82187213, -73.95378497)"
Open Data SET_BP Checks on HealthMap.xlsx,,Free Blood Pressure Check at a Kiosk (Self-serve),Blood Pressure,Royal Care Pharmacy,127 East 110th Street,,,MANHATTAN,10029,40.67691569,-73.90802758,,,,1016380011,1052170,08,111,East Harlem South,"(40.67691569, -73.90802758)"
Open Data SET_BP Checks on HealthMap.xlsx,,Free Blood Pressure Check by Pharmacy Staff,Blood Pressure,Duane Reade,425 Main Street,,,MANHATTAN,10044,40.75849535,-73.9526271,(646) 521-2260,,<p>Ask a staff member to check your blood pressure.</p>,1013737502,1087292,05,108,Lenox Hill-Roosevelt Island,"(40.75849535, -73.9526271)"
Open Data SET_BP Checks on HealthMap.xlsx,,Free Blood Pressure Check at a Kiosk (Self-serve),Blood Pressure,Center Pharmacy,1290 Amsterdam Avenue,,,MANHATTAN,10027,40.81161922,-73.95755999,,,,1019780001,1084108,07,109,Morningside Heights,"(40.81161922, -73.95755999)"
,,,,,,,,,,40.77661914,-73.98213463,,,,,,,,,"(40.77661914, -73.98213463)"
Open Data SET_BP Checks on HealthMap.xlsx,,Free Blood Pressure Check by Pharmacy Staff,Blood Pressure,NY Family Pharmacy,142-46 Roosevelt Avenue,,,QUEENS,11415,40.7607028,-73.82552221,(718) 888-0808,,<p>Ask a staff member to check your blood pressure.</p>,4050210025,4113632,20,407,Flushing,"(40.7607028, -73.82552221)"
Open Data SET_BP Checks on HealthMap.xlsx,,Free Blood Pressure Check by Pharmacy Staff,Blood Pressure,Briarwood Pharmacy,143-03 Hillside Avenue,,,QUEENS,11487,40.70491697,-73.81263765,(718) 526-0310,,<p>Ask a staff member to check your blood pressure.</p>,,,,,,"(40.70491697, -73.81263765)"
Open Data SET_BP Checks on HealthMap.xlsx,,Free Blood Pressure Check by Pharmacy Staff,Blood Pressure,Foster Maaz Pharmacy,1056 Coney Island Avenue,,,BROOKLYN,11230,40.63196905,-73.9666888,(718) 421-5533,,<p>Ask a staff member to check your blood pressure.</p>,3064980001,3170227,40,314,Flatbush,"(40.63196905, -73.9666888)"
Open Data SET_BP Checks on HealthMap.xlsx,,Free Blood Pressure Check by Pharmacy Staff,Blood Pressure,Duane Reade,3387 Broadway,,,MANHATTAN,11674,40.82162243,-73.9539658,(917) 507-0179,,<p>Ask a staff member to check your blood pressure.</p>,,,,,,"(40.82162243, -73.9539658)"
Open Data SET_BP Checks on HealthMap.xlsx,,Free Blood Pressure Check at a Kiosk (Self-serve),Blood Pressure,Rite Aid Pharmacy,1040 Saint John's Place,,,BROOKLYN,11213,40.67125703,-73.94361577,,,,3012570018,3032436,35,308,Crown Heights North,"(40.67125703, -73.94361577)"
Open Data SET_BP Checks on HealthMap.xlsx,,Free Blood Pressure Check at a Kiosk (Self-serve),Blood Pressure,Rite Aid Pharmacy,282 8th Avenue,,,MANHATTAN,10001,40.74609056,-73.99788876,,,,1007740001,1014167,03,104,Hudson Yards-Chelsea-Flatiron-Union Square,"(40.74609056, -73.99788876)"
Open Data SET_BP Checks on HealthMap.xlsx,,Free Blood Pressure Check by Pharmacy Staff,Blood Pressure,Duane Reade,300 East 39th Street,,,MANHATTAN,11627,40.74785514,-73.97348063,(212) 599-7492,,<p>Ask a staff member to check your blood pressure.</p>,,,,,,"(40.74785514, -73.97348063)"
Open Data SET_BP Checks on HealthMap.xlsx,,Free Blood Pressure Check by Pharmacy Staff,Blood Pressure,Lemed Pharmacy III,159 East Gunhill Road,,,BRONX,10467,40.88101546,-73.87834709,(718) 231-4040,,<p>Ask a staff member to check your blood pressure.</p>,2033440005,2018255,11,207,Norwood,"(40.88101546, -73.87834709)"
Open Data SET_BP Checks on HealthMap.xlsx,,Free Blood Pressure Check by Pharmacy Staff,Blood Pressure,RxCircle Pharmacy,5001 7th Avenue,,,BROOKLYN,11220,40.69379104,-73.98699993,(718) 686-8280,,<p>Ask a staff member to check your blood pressure.</p>,3007940009,3013393,38,307,Sunset Park East,"(40.69379104, -73.98699993)"
Open Data SET_BP Checks on HealthMap.xlsx,,Free Blood Pressure Check by Pharmacy Staff,Blood Pressure,Duane Reade,10 Union Square East,,,MANHATTAN,11682,40.73469663,-73.9899255,(646) 602-2491,,<p>Ask a staff member to check your blood pressure.</p>,,,,,,"(40.73469663, -73.9899255)"
Open Data SET_BP Checks on HealthMap.xlsx,,Free Blood Pressure Check at a Kiosk (Self-serve),Blood Pressure,Rite Aid Pharmacy,218-35 Hempstead Avenue,,,QUEENS,11429,40.71365882,-73.73701662,,,,4107660051,4230790,27,413,Queens Village,"(40.71365882, -73.73701662)"
Open Data SET_BP Checks on HealthMap.xlsx,,Free Blood Pressure Check by Pharmacy Staff,Blood Pressure,Gulshan Ave,37-64 90th Street,,,QUEENS,11464,40.74923839,-73.87664695,(718) 672-5500,,<p>Ask a staff member to check your blood pressure.</p>,,,,,,"(40.74923839, -73.87664695)"
Open Data SET_BP Checks on HealthMap.xlsx,,Free Blood Pressure Check at a Kiosk (Self-serve),Blood Pressure,Rite Aid Pharmacy,583 Grandview Avenue,,,QUEENS,11385,40.70864629,-73.90588079,,,,4033730001,4080387,30,405,Ridgewood,"(40.70864629, -73.90588079)"
Open Data SET_BP Checks on HealthMap.xlsx,,Free Blood Pressure Check at a Kiosk (Self-serve),Blood Pressure,Farmacia Honeywell,882 East 180th Street,,,BRONX,10460,40.84518495,-73.88287661,,,,2031230056,2013150,17,206,East Tremont,"(40.84518495, -73.88287661)"
Open Data SET_BP Checks on HealthMap.xlsx,,Free Blood Pressure Check by Pharmacy Staff,Blood Pressure,Divino Pharmacy,30 East Kingsbridge Road,,,BRONX,10468,40.86714501,-73.89661307,(718) 933-0278,,<p>Ask a staff member to check your blood pressure.</p>,2031910043,2014144,14,207,Bedford Park-Fordham North,"(40.86714501, -73.89661307)"
Open Data SET_BP Checks on HealthMap.xlsx,,Free Blood Pressure Check at a Kiosk (Self-serve),Blood Pressure,Rite Aid Pharmacy,4368 Amboy Road,,,STATEN ISLAND,10312,40.54510889,-74.16095603,,,,5054950065,5114881,51,503,Great Kills,"(40.54510889, -74.16095603)"
